dataentryid,id,partner,partnermentiontype,datecreated,servicetype,authordisplayname,message,contenttype,url,impressions,retweetcount,likecount,replycount,commentcount,viewcount,lovecount,sharecount,wowcount,hahacount,sadcount,angrycount,brandexposurevalue,logoaverageclarity,logoaveragesize,logototalseconds,logoimpressions,engagement,sentiment,vodviews,tags,alllogos,textmention
1644,804716178,Arizona Coyotes,TextMention,3/16/21 22:06,YouTube,Arizona Coyotes,Arizona Coyotes introduce Tucson Roadrunners GM John Ferguson Arizona Coyotes General Manager Bill Armstrong introduced John Ferguson as the Club's Assistant General Manager. Ferguson will also serve as the General Manager of the Tucson Roadrunners (AHL).   #ArizonaCoyotes #Coyotes #Yotes #NHL #Hockey   Subscribe to the Arizona Coyotes YT Channel: youtube.com/c/ArizonaCoyotes/?sub_confirmation=1 For more Coyotes videos: https://www.youtube.com/c/ArizonaCoyotes/  Get the App: https://apple.co/3jxC1su For more Coyotes action: http://www.arizonacoyotes.com Sign up for our newsletter: https://www.nhl.com/coyotes/fans/email/ Like us on Facebook: https://www.facebook.com/ArizonaCoyotes Follow us on Twitter: https://twitter.com/ArizonaCoyotes Follow us on Instagram: https://www.instagram.com/arizonacoyo...,Video,https://www.youtube.com/watch?v=v40FSwspA9c,132,,6,,0,132,,,,,,,0,,,,,7,Positive,132,"Social Owned,Coyotes Owned",,Coyotes Owned
1643,749946154,Arizona Coyotes,TextMention,3/15/21 18:16,Twitter,Arizona Coyotes,,Text,,358,3,7,1,,,,,,,,,0,,,,,15,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1642,1919406793,Arizona Coyotes,TextMention,3/15/21 16:37,Twitter,Arizona Coyotes,,Photo,,,0,0,0,,,,,,,,,0,,,,,0,Objective,,"Social Owned,Coyotes Owned,Dignity Health",Dignity Health,"Coyotes Owned,Dignity Health"
1641,-506889315,Arizona Coyotes,TextMention,3/15/21 13:05,Twitter,Arizona Coyotes,,Text,,32462,42,187,7,,,,,,,,,0,,,,,835,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1640,-2009713858,Arizona Coyotes,TextMention,3/15/21 0:31,Twitter,Arizona Coyotes,,Video,,242060,58,682,9,,34660,,,,,,,0,,,,,5029,Negative,34660,"Social Owned,Coyotes Owned,Geico,Dignity Health,Enterprise,Mayo Clinic","Banner Health,Cintron World,Dignity Health,Enterprise,Fry's,Geico,Gila River,Mayo Clinic,Mountain America Credit Union","Coyotes Owned,Geico,Dignity Health,Enterprise,Mayo Clinic"
1639,287386607,Arizona Coyotes,TextMention,3/14/21 21:00,Twitter,Arizona Coyotes,,Text,,16596,17,115,4,,,,,,,,,0,,,,,449,Positive,,"Social Owned,Coyotes Owned,Dignity Health",,"Coyotes Owned,Dignity Health"
1638,1431707820,Arizona Coyotes,TextMention,3/14/21 18:40,Twitter,Arizona Coyotes,,Text,,,0,0,0,,,,,,,,,0,,,,,0,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1637,-610172043,Arizona Coyotes,TextMention,3/14/21 16:20,Twitter,Arizona Coyotes,,Video,,9016,12,100,0,,2096,,,,,,,0,,,,,624,Positive,2096,"Social Owned,Coyotes Owned",,Coyotes Owned
1636,1700539561,Arizona Coyotes,TextMention,3/14/21 4:16,Twitter,Arizona Coyotes,,Video,,30026,22,236,4,,8800,,,,,,,0,,,,,2066,Positive,8800,"Social Owned,Coyotes Owned,Enterprise,Mayo Clinic","Banner Health,Cox Communications,Enterprise,Fry's,Gila River,Mayo Clinic,Mountain America Credit Union","Coyotes Owned,Enterprise,Mayo Clinic"
1635,-1602798265,Arizona Coyotes,TextMention,3/14/21 2:58,Twitter,Arizona Coyotes,,Photo,,31029,15,214,3,,,,,,,,,0,,,,,3567,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1634,881881158,Arizona Coyotes,TextMention,3/14/21 2:27,Twitter,Arizona Coyotes,,Video,,29750,23,185,3,,7832,,,,,,,0,,,,,2224,Objective,7832,"Social Owned,Coyotes Owned,Geico,Dignity Health,Enterprise,Mayo Clinic","Cintron World,Cox Communications,Dignity Health,Enterprise,Fry's,Geico,Gila River,Mayo Clinic,Mountain America Credit Union","Coyotes Owned,Geico,Dignity Health,Enterprise,Mayo Clinic"
1633,-1369696675,Arizona Coyotes,TextMention,3/14/21 2:09,Twitter,Arizona Coyotes,,Photo,,29020,12,237,6,,,,,,,,,0,,,,,3564,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1632,1295682146,Arizona Coyotes,TextMention,3/14/21 2:00,Twitter,Arizona Coyotes,,Video,,17471,25,141,2,,4860,,,,,,,0,,,,,1422,Positive,4860,"Social Owned,Coyotes Owned,Dignity Health,Mayo Clinic","Dignity Health,Gila River,Mayo Clinic,Mountain America Credit Union","Coyotes Owned,Dignity Health,Mayo Clinic"
1631,1914957907,Arizona Coyotes,TextMention,3/14/21 1:12,Twitter,Arizona Coyotes,,Photo,,14672,4,112,2,,,,,,,,,0,,,,,1278,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1630,1046082991,Arizona Coyotes,TextMention,3/14/21 13:09,Twitter,Arizona Coyotes,,Video,,,0,0,0,,,,,,,,,0,,,,,0,Positive,,"Social Owned,Coyotes Owned,Enterprise,Mayo Clinic","Banner Health,Cox Communications,Enterprise,Fry's,Gila River,Mayo Clinic,Mountain America Credit Union","Coyotes Owned,Enterprise,Mayo Clinic"
1629,659843161,Arizona Coyotes,TextMention,3/14/21 0:47,Twitter,Arizona Coyotes,,Video,,14220,12,111,2,,3986,,,,,,,0,,,,,1124,Positive,3986,"Social Owned,Coyotes Owned",,Coyotes Owned
1628,940951509,Arizona Coyotes,TextMention,3/14/21 0:26,Twitter,Arizona Coyotes,,Photo,,23444,9,154,5,,,,,,,,,0,,,,,2909,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1627,894452617,Arizona Coyotes,TextMention,3/14/21 0:08,Twitter,Arizona Coyotes,,Photo,,48472,12,194,3,,,,,,,,,0,,,,,4580,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1626,492511820,Arizona Coyotes,TextMention,3/14/21 22:13,Twitter,Arizona Coyotes,,Photo,,15265,6,104,2,,,,,,,,,0,,,,,379,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1625,-1728563811,Arizona Coyotes,TextMention,3/13/21 20:00,Twitter,Arizona Coyotes,,Text,,17275,13,69,3,,,,,,,,,0,,,,,590,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1624,-2027613036,Arizona Coyotes,TextMention,3/13/21 20:00,Twitter,Arizona Coyotes,,Text,,125637,39,234,5,,,,,,,,,0,,,,,1701,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1623,127564428,Arizona Coyotes,TextMention,3/13/21 18:13,Twitter,Arizona Coyotes,,Video,,1598,2,26,2,,278,,,,,,,0,,,,,66,Objective,278,"Social Owned,Coyotes Owned,Gila River,Dignity Health,Mayo Clinic","Banner Health,Cintron World,Cox Communications,Dignity Health,Fry's,Gila River,Mayo Clinic,Mountain America Credit Union","Coyotes Owned,Gila River,Dignity Health,Mayo Clinic"
1622,1266437256,Arizona Coyotes,TextMention,3/13/21 15:24,Twitter,Arizona Coyotes,,Text,,8526,9,56,3,,,,,,,,,0,,,,,195,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1621,-1726805527,Arizona Coyotes,TextMention,3/13/21 23:45,Twitter,Arizona Coyotes,,Photo,,183122,198,1804,43,,,,,,,,,0,,,,,23512,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1620,-1493275716,Arizona Coyotes,TextMention,3/13/21 23:19,Twitter,Arizona Coyotes,,Photo,,46997,22,396,20,,,,,,,,,0,,,,,6315,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1619,490391712,Arizona Coyotes,TextMention,3/13/21 22:22,Twitter,Arizona Coyotes,,Photo,,21704,9,121,7,,,,,,,,,0,,,,,2242,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1618,117438170,Arizona Coyotes,TextMention,3/13/21 22:19,Twitter,Arizona Coyotes,,Photo,,44529,21,180,8,,,,,,,,,0,,,,,5370,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1617,64900905,Arizona Coyotes,TextMention,3/12/21 21:36,Twitter,Arizona Coyotes,,Photo,,17542,4,154,0,,,,,,,,,0,,,,,1418,Objective,,"Social Owned,Coyotes Owned",Gila River,Coyotes Owned
1616,-1150482590,Arizona Coyotes,TextMention,3/12/21 19:48,Twitter,Arizona Coyotes,,Text,,43676,25,362,6,,,,,,,,,0,,,,,630,Negative,,"Social Owned,Coyotes Owned",,Coyotes Owned
1615,-1419557950,Arizona Coyotes,TextMention,3/12/21 15:22,Twitter,Arizona Coyotes,,Photo,,22301,16,262,1,,,,,,,,,0,,,,,556,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1614,-2059677326,Arizona Coyotes,TextMention,3/12/21 23:16,Twitter,Arizona Coyotes,,Photo,,18125,14,205,2,,,,,,,,,0,,,,,796,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1613,-2144163626,Arizona Coyotes,TextMention,3/11/21 18:32,Twitter,Arizona Coyotes,,Text,,,0,0,0,,,,,,,,,0,,,,,0,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1612,180953592,Arizona Coyotes,TextMention,3/11/21 15:32,Twitter,Arizona Coyotes,,Photo,,12408,23,222,2,,,,,,,,,0,,,,,449,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1611,-831949704,Arizona Coyotes,TextMention,3/11/21 1:28,Twitter,Arizona Coyotes,,Text,,22005,34,241,2,,,,,,,,,0,,,,,1030,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1610,-1127690570,Arizona Coyotes,TextMention,3/10/21 20:55,Twitter,Arizona Coyotes,,Photo,,19483,17,167,3,,,,,,,,,0,,,,,1639,Objective,,"Social Owned,Coyotes Owned",Fry's,Coyotes Owned
1609,-1613187318,Arizona Coyotes,TextMention,3/10/21 16:24,Twitter,Arizona Coyotes,,Text,,7540,7,59,1,,,,,,,,,0,,,,,252,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1608,1349324376,Arizona Coyotes,TextMention,3/10/21 15:48,Twitter,Arizona Coyotes,,Photo,,11026,10,131,0,,,,,,,,,0,,,,,819,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1607,72394891,Arizona Coyotes,TextMention,3/10/21 0:11,Twitter,Arizona Coyotes,,Photo,,26256,12,200,3,,,,,,,,,0,,,,,2630,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1606,1544247984,Arizona Coyotes,TextMention,3/1/21 20:14,Twitter,Arizona Coyotes,,Photo,,26836,18,246,4,,,,,,,,,0,,,,,1020,Positive,,"Social Owned,Coyotes Owned",Gila River,Coyotes Owned
1605,1650929651,Arizona Coyotes,TextMention,3/1/21 5:56,Twitter,Arizona Coyotes,,Text,,,0,0,0,,,,,,,,,0,,,,,0,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1604,1810374126,Arizona Coyotes,TextMention,3/1/21 16:34,Twitter,Arizona Coyotes,,Photo,,14342,11,165,6,,,,,,,,,0,,,,,1669,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1603,-1698666697,Arizona Coyotes,TextMention,3/1/21 23:13,YouTube,Arizona Coyotes,"Arizona Coyotes Introduce 2021 First Round Draft Choice Dylan Guenther Dylan Guenther was the ninth overall draft choice in the 2021 NHL Draft by the Arizona Coyotes. On August 30, 2021, the organization officially signed him to a three-year deal.   Hear from Guenther and GM Bill Armstrong speak to the media about what his signing means for the club.   #ArizonaCoyotes #Coyotes #Yotes #NHL #Hockey   Subscribe to the Arizona Coyotes YT Channel: youtube.com/c/ArizonaCoyotes/?sub_confirmation=1 For more Coyotes videos: https://www.youtube.com/c/ArizonaCoyotes/  Get the App: https://apple.co/3jxC1su For more Coyotes action: http://www.arizonacoyotes.com Sign up for our newsletter: https://www.nhl.com/coyotes/fans/email/ Like us on Facebook: https://www.facebook.com/ArizonaCoyotes Follow us on Twitter: https://twitter.com/ArizonaCoyotes Follow us on Instagram: https://www.instagram.com/arizonacoyo...",Video,https://www.youtube.com/watch?v=NPJDOeeis9E,170,,20,,0,170,,,,,,,0,,,,,21,Positive,170,"Social Owned,Coyotes Owned",,Coyotes Owned
1602,-553055694,Arizona Coyotes,TextMention,3/1/21 22:27,Twitter,Arizona Coyotes,,Photo,,32062,12,195,1,,,,,,,,,0,,,,,1531,Positive,,"Social Owned,Coyotes Owned",Gila River,Coyotes Owned
1601,-570685446,Arizona Coyotes,TextMention,2/9/21 20:02,Instagram,Arizona Coyotes,Is it September yet?,Photo,https://www.instagram.com/p/CSXchpJpKa8/,,,462,,14,,,,,,,,0,,,,,476,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1600,431949258,Arizona Coyotes,TextMention,2/9/21 20:01,Instagram Story,Arizona Coyotes,@JAKOBCHYCHRUN,Photo,https://media.zoomph.com/instagram/17841401433554181/17925999727731895,,,0,,0,,,,,,,,0,,,,,0,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1599,-1349492865,Arizona Coyotes,TextMention,2/9/21 20:00,Facebook,Arizona Coyotes,Mark your calendars. 📅  Our preseason schedule is officially here!,Photo,http://www.facebook.com/permalink.php?id=91742120782&v=wall&story_fbid=10159099687360783,,,13,,0,,2,1,0,0,0,0,0,,,,,16,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1598,1971612034,Arizona Coyotes,TextMention,2/9/21 20:00,Twitter,Arizona Coyotes,,Text,,,0,0,0,,,,,,,,,0,,,,,0,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1597,-36992738,Arizona Coyotes,TextMention,2/9/21 16:39,Facebook,Arizona Coyotes,Coyotes Hockey Development recently traveled to New Mexico to host a series of free hockey clinics in Rio Rancho and Santa Fe to boost youth hockey participation.,Video,http://www.facebook.com/permalink.php?id=91742120782&v=wall&story_fbid=10159099357600783,,,5,,0,,0,1,0,0,0,0,0,,,,,6,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1596,1472424618,Arizona Coyotes,TextMention,2/9/21 16:35,YouTube,Arizona Coyotes,Arizona Coyotes Visit New Mexico for Hockey Development Clinics The Arizona Coyotes Hockey Development Team recently traveled to New Mexico to host a series of hockey clinics to boost youth hockey participation.  #ArizonaCoyotes #Coyotes #Yotes #NHL #Hockey   Subscribe to the Arizona Coyotes YT Channel: youtube.com/c/ArizonaCoyotes/?sub_confirmation=1 For more Coyotes videos: https://www.youtube.com/c/ArizonaCoyotes/  Get the App: https://apple.co/3jxC1su For more Coyotes action: http://www.arizonacoyotes.com Sign up for our newsletter: https://www.nhl.com/coyotes/fans/email/ Like us on Facebook: https://www.facebook.com/ArizonaCoyotes Follow us on Twitter: https://twitter.com/ArizonaCoyotes Follow us on Instagram: https://www.instagram.com/arizonacoyo...,Video,https://www.youtube.com/watch?v=aoz81KBBtj8,16,,3,,0,16,,,,,,,0,,,,,3,Positive,16,"Social Owned,Coyotes Owned",,Coyotes Owned
1595,1905160959,Arizona Coyotes,TextMention,2/9/21 16:33,Twitter,Arizona Coyotes,,Video,,,0,0,0,,,,,,,,,0,,,,,0,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1594,437892288,Arizona Coyotes,TextMention,2/8/21 21:53,Facebook,Arizona Coyotes,Visiting the Phoenix Zoo?  Make sure to visit our friends Zoltan and Hilda at the Coyote exhibit. You may see Howler too! 😊,Photo,http://www.facebook.com/permalink.php?id=91742120782&v=wall&story_fbid=10159097975660783,,,28,,0,,13,3,0,0,0,0,0,,,,,44,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1593,799885848,Arizona Coyotes,TextMention,2/8/21 21:47,Twitter,Arizona Coyotes,,Text,,,0,0,0,,,,,,,,,0,,,,,0,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1592,-839772006,Arizona Coyotes,TextMention,2/7/21 16:41,Facebook,Arizona Coyotes,"Beat the heat. Let's play hockey. 🏳️‍🌈  We're excited to launch our first LGBTQIA+ adult-learn-to-play hockey program, specifically designed to provide a safe and inclusive environment for the LGBTQIA+ community and its allies.",Photo,http://www.facebook.com/permalink.php?id=91742120782&v=wall&story_fbid=10159095377040783,,,21,,3,,3,1,0,4,0,0,0,,,,,32,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1591,529241176,Arizona Coyotes,TextMention,2/7/21 15:02,Twitter,Arizona Coyotes,,Text,,,0,0,0,,,,,,,,,0,,,,,0,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1590,1748352694,Arizona Coyotes,TextMention,2/6/21 21:38,Twitter,Arizona Coyotes,,Text,,,0,0,0,,,,,,,,,0,,,,,0,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1589,-1081461876,Arizona Coyotes,TextMention,2/6/21 17:08,Facebook,Arizona Coyotes,Official: GM Bill Armstrong has named Larry Pleau as his Senior Advisor.,Photo,http://www.facebook.com/permalink.php?id=91742120782&v=wall&story_fbid=10159093556735783,,,0,,0,,0,0,0,0,0,0,0,,,,,0,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1588,-1335895837,Arizona Coyotes,TextMention,2/6/21 17:06,Twitter,Arizona Coyotes,,Text,,,0,0,0,,,,,,,,,0,,,,,0,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1587,-812332912,Arizona Coyotes,TextMention,2/6/21 17:05,Twitter,Arizona Coyotes,,Text,,,0,0,0,,,,,,,,,0,,,,,0,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1586,-1142992651,Arizona Coyotes,TextMention,2/6/21 22:21,Instagram,Arizona Coyotes,"Done deals. ✔️   Welcome to the family, @ctimmins21 and @bokojr.",Video,https://www.instagram.com/p/CSP-Eg1phgc/,,,385,,10,,,,,,,,0,,,,,395,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1585,-1525249592,Arizona Coyotes,TextMention,2/6/21 22:14,Instagram Story,Arizona Coyotes,@BOKOJR,Video,https://media.zoomph.com/instagram/17841401433554181/18162962872199492,,,0,,0,,,,,,,,0,,,,,0,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1584,-412366908,Arizona Coyotes,TextMention,2/6/21 22:11,Instagram Story,Arizona Coyotes,,Video,https://media.zoomph.com/instagram/17841401433554181/17907043649023308,,,0,,0,,,,,,,,0,,,,,0,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1583,-1959498506,Arizona Coyotes,TextMention,2/6/21 22:09,Facebook,Arizona Coyotes,Official: We've signed defenseman Conor Timmins to a two-year contract.,Photo,http://www.facebook.com/permalink.php?id=91742120782&v=wall&story_fbid=10159094022460783,,,4,,0,,0,0,0,0,0,0,0,,,,,4,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1582,-731830739,Arizona Coyotes,TextMention,2/6/21 22:01,Twitter,Arizona Coyotes,,Text,,,0,0,0,,,,,,,,,0,,,,,0,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1581,-1665063162,Arizona Coyotes,TextMention,2/5/21 21:40,Twitter,Arizona Coyotes,,Text,,,0,0,0,,,,,,,,,0,,,,,0,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1580,-1674521461,Arizona Coyotes,TextMention,2/5/21 18:05,Twitter,Arizona Coyotes,,Video,,,0,0,0,,,,,,,,,0,,,,,0,Positive,,"Social Owned,Coyotes Owned",Gila River,Coyotes Owned
1579,10152316,Arizona Coyotes,TextMention,2/5/21 17:53,Facebook,Arizona Coyotes,Think you have what it takes to be part of our in-arena host team? 🎙  We’re looking for additional hosts for the 2021-22 season! Deadline to apply is August 27.   Details: arizonacoyotes.com/hostauditions,Photo,http://www.facebook.com/permalink.php?id=91742120782&v=wall&story_fbid=10159091562495783,,,6,,2,,0,0,0,0,0,0,0,,,,,8,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1578,966045752,Arizona Coyotes,TextMention,2/5/21 17:49,Instagram,Arizona Coyotes,Think you have what it takes to be part of our in-arena host team? 🎤  We’re looking for additional hosts for the 2021-22 season! Deadline to apply is August 27. Head to our story to apply!,Photo,https://www.instagram.com/p/CSM6MolldVM/,,,463,,12,,,,,,,,0,,,,,475,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1577,-1075552898,Arizona Coyotes,TextMention,2/5/21 17:13,Instagram Story,Arizona Coyotes,,Photo,https://media.zoomph.com/instagram/17841401433554181/17917176349861338,,,0,,0,,,,,,,,0,,,,,0,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1576,-1730058191,Arizona Coyotes,TextMention,2/5/21 17:09,Twitter,Arizona Coyotes,,Photo,,,0,0,0,,,,,,,,,0,,,,,0,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1575,1678272072,Arizona Coyotes,TextMention,2/5/21 3:26,Twitter,Arizona Coyotes,,Photo,,,0,0,0,,,,,,,,,0,,,,,0,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1574,682155072,Arizona Coyotes,TextMention,2/4/21 21:15,Instagram,Arizona Coyotes,Up in the gym just working on our fitness. 💪,Photo,https://www.instagram.com/p/CSKs3cypVDg/,,,568,,5,,,,,,,,0,,,,,573,Objective,,"Social Owned,Coyotes Owned",,Coyotes Owned
1573,13491643,Arizona Coyotes,TextMention,2/4/21 17:56,Facebook,Arizona Coyotes,🎥 Shane Doan and Josh Doan joined SportsNation to chat about this year's NHL Draft experience and Josh coming home to the desert. 🌵,Video,http://www.facebook.com/permalink.php?id=91742120782&v=wall&story_fbid=10159089652835783,,,12,,0,,2,0,0,1,0,0,0,,,,,15,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1572,-375634967,Arizona Coyotes,TextMention,2/4/21 17:51,Twitter,Arizona Coyotes,,Video,,,0,0,0,,,,,,,,,0,,,,,0,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1571,1287673160,Arizona Coyotes,TextMention,2/31/2021  8:54:08 PM,Twitter,Arizona Coyotes,,Photo,,22787,16,290,3,,,,,,,,,0,,,,,1936,Positive,,"Social Owned,Coyotes Owned",,Coyotes Owned
1570,718802490,Arizona Coyotes,TextMention,2/31/2021  4:33:38 PM,Twitter,Arizona Coyotes,,Video,,11787,17,236,11,,5016,,,,,,,0,,,,,695,Objective,5016,"Social Owned,Coyotes Owned",,Coyotes Owned
